Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedFellype;22/09/2025, 0:00:00;231,77271186440677;206,34677966101694;24,795084745762715;0;-144,54864406779663;-136,72406779661017;-7,88406779661017;0;0,7786440677966102;0,82;0,5596610169491526;0,44389830508474576;220,20084745762713;220,21271186440677;223,16983050847458;1,1416949152542373;0,2;0,02
MedFellype;22/09/2025, 0:01:00;230,36416666666668;204,9485;24,787166666666668;0;-144,80816666666666;-137,013;-7,857;0;0,7751666666666667;0,8186666666666667;0,56;0,445;220,38133333333332;220,33533333333335;223,29800000000003;1,135333333333333;0,2;0,02
MedFellype;22/09/2025, 0:02:00;229,24566666666666;203,91583333333335;24,778333333333332;0;-144,97516666666667;-137,19233333333332;-7,854666666666666;0;0,7715;0,8165;0,5603333333333335;0,4456666666666667;220,60483333333335;220,33599999999998;223,36599999999999;1,1315;0,2;0,02
MedFellype;22/09/2025, 0:03:00;235,4905;210,064;24,819666666666667;0;-147,20683333333332;-139,517;-7,761833333333333;0;0,7753333333333334;0,8173333333333334;0,5606666666666666;0,4453333333333333;220,6405;220,347;223,34866666666667;1,164;0,2;0,02
MedFellype;22/09/2025, 0:04:00;238,53083333333333;213,11466666666666;24,825833333333332;0;-147,49266666666665;-139,88083333333333;-7,6745;0;0,779;0,8196666666666667;0,5613333333333334;0,4365;220,78766666666667;220,50516666666667;223,5078333333333;1,1778333333333333;0,2;0,02
MedFellype;22/09/2025, 0:05:00;236,28583333333333;210,86766666666665;24,810333333333332;0;-144,8105;-137,11049999999997;-7,738166666666667;0;0,7791666666666667;0,8234999999999999;0,56;0,44633333333333336;220,7485;220,42183333333332;223,4296666666667;1,1544999999999999;0,2;0,02
MedFellype;22/09/2025, 0:06:00;261,86516666666665;236,55450000000002;24,899833333333333;0;-146,57049999999998;-138,95633333333333;-7,6353333333333335;0;0,8008333333333334;0,8443333333333333;0,56;0,44949999999999996;220,64849999999998;220,3505;223,2985;1,2674999999999998;0,2;0,02
MedFellype;22/09/2025, 0:07:00;251,57783333333333;226,17700000000002;24,849333333333334;0;-144,76966666666667;-137,04816666666665;-7,753833333333334;0;0,7978333333333334;0,8401666666666666;0,5598333333333334;0,44516666666666665;220,80283333333333;220,38250000000002;223,44183333333334;1,2168333333333334;0,2;0,02
MedFellype;22/09/2025, 0:08:00;245,87033333333332;220,4775;24,821;0;-144,9406666666667;-137,17783333333333;-7,799666666666667;0;0,7928333333333334;0,8356666666666667;0,5608333333333334;0,44466666666666665;220,87849999999997;220,38883333333334;223,48283333333333;1,1935;0,2;0,02
MedFellype;22/09/2025, 0:09:00;242,09900000000002;216,69416666666666;24,822333333333333;0;-147,17666666666668;-139,38233333333335;-7,834666666666666;0;0,7831666666666667;0,8238333333333333;0,56;0,44916666666666666;220,83133333333333;220,39466666666667;223,47316666666666;1,1883333333333332;0,2;0,02
MedFellype;22/09/2025, 0:10:00;239,91516666666666;214,5015;24,83133333333333;0;-149,00033333333334;-141,2288333333333;-7,828333333333333;0;0,7773333333333333;0,8173333333333334;0,5608333333333334;0,4473333333333333;220,94799999999998;220,44983333333332;223,5265;1,1888333333333334;0,2;0,02
MedFellype;22/09/2025, 0:11:00;241,6038333333333;216,19033333333334;24,83133333333333;0;-149,5366666666667;-141,8665;-7,722666666666667;0;0,7788333333333334;0,8188333333333333;0,5685;0,449;221,13116666666667;220,668;223,637;1,196;0,2;0,02
