Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
TAG_Geral_ISEA;22/09/2025, 0:00:00;68516,26;14081,15;26760,86;27594,82;13447,48;3719,14;4448,92;5186,19;0,98;0,97;0,99;0,98;222,03;219,47;219,8;66,82;124,71;129,95
TAG_Geral_ISEA;22/09/2025, 0:01:00;67037,7;13792,23;26418,99;26753,96;12829,35;3582,73;4135,83;5030,22;0,98;0,97;0,99;0,98;221,99;219,46;219,81;65,24;122,58;125,98
TAG_Geral_ISEA;22/09/2025, 0:02:00;64386,76;13090,65;25438,27;25802,59;12269,35;3349,06;3985,04;4855,83;0,98;0,97;0,99;0,98;222,19;219,66;219,99;61,76;117,92;121,02
TAG_Geral_ISEA;22/09/2025, 0:03:00;63406,62;13701,29;24947,34;24661,87;12245,76;3371,51;4100,72;4699,86;0,98;0,97;0,99;0,98;222,21;219,74;220,05;64,58;115,77;115,96
TAG_Geral_ISEA;22/09/2025, 0:04:00;63538,42;13258,71;24510,5;25705,9;12672,23;3483,17;4063,31;5034,82;0,98;0,97;0,99;0,98;222,22;219,79;219,95;62,87;114;121,22
TAG_Geral_ISEA;22/09/2025, 0:05:00;66627,34;13248,35;26106,47;27191,94;13527,48;3780,14;4115,11;5561,44;0,98;0,96;0,99;0,98;222,28;219,71;219,93;63,27;121,05;127,88
TAG_Geral_ISEA;22/09/2025, 0:06:00;67882,9;13201,16;26893,33;27706,67;13712,46;3918,84;4108,99;5594,2;0,98;0,96;0,99;0,98;222,12;219,48;219,75;63,03;124,58;130,76
TAG_Geral_ISEA;22/09/2025, 0:07:00;68717,7;13917,12;26264,75;28446,04;14532,95;4065,04;4573,24;5819,86;0,98;0,96;0,98;0,98;221,99;219,43;219,65;66,92;122,6;134,18
TAG_Geral_ISEA;22/09/2025, 0:08:00;66924,32;14019,57;25235,11;27612,09;13459,57;3742,16;4276,83;5363,45;0,98;0,97;0,99;0,98;222,1;219,67;219,81;66,72;117,25;129,92
TAG_Geral_ISEA;22/09/2025, 0:09:00;67327,77;14336,69;25255,25;27675,97;14118,56;3909,06;4851,22;5297,27;0,98;0,96;0,98;0,98;222,08;219,57;219,86;67,85;118,06;129,84
TAG_Geral_ISEA;22/09/2025, 0:10:00;66070,22;14334,39;24156,55;27498,13;13910,79;3869,35;4858,71;5121,73;0,98;0,96;0,98;0,98;222,09;219,69;219,85;67,83;112,86;129,05
TAG_Geral_ISEA;22/09/2025, 0:11:00;64886,33;13434,24;24130,65;27253,53;13854,39;3768,06;4916,83;5087,77;0,98;0,96;0,98;0,98;222,23;219,81;219,95;63,83;112,63;128,1
TAG_Geral_ISEA;22/09/2025, 0:12:00;65041,16;12090,43;23749,56;29136,81;13797,68;3917,68;4725,22;5089,28;0,98;0,95;0,98;0,98;222,51;219,97;219,95;58,22;110,84;136,66
TAG_Geral_ISEA;22/09/2025, 0:13:00;66195,11;11924,6;24618,71;29560,29;13914,82;3993,09;4623,88;5220,14;0,98;0,95;0,98;0,98;222,61;219,97;219,92;57,59;114,39;138,02
