Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedParqueDaCrianca2G;09/06/2025, 0:00:00;9703,005000000001;1483,105;1496,5300000000002;6740,915;-1613,525;-213,26999999999998;-351,255;-1047,5549999999998;0,985;0,99;0,97;0,99;222,135;222,57;221,345;6,75;6,925;30,825000000000003
MedParqueDaCrianca2G;09/06/2025, 0:01:00;9719,09;1481,9;1494,46;6761,35;-1543,4450000000002;-203,315;-340,27;-998,3;0,99;0,99;0,97;0,99;218,055;218,35;217,29000000000002;6,86;7,03;31,439999999999998
MedParqueDaCrianca2G;09/06/2025, 0:02:00;9711,94;1480,185;1494,03;6756,31;-1539,2150000000001;-202,47;-339,44000000000005;-995,72;0,99;0,99;0,97;0,99;217,745;217,995;217,115;6,865;7,04;31,46
MedParqueDaCrianca2G;09/06/2025, 0:03:00;9722,66;1481,8899999999999;1495,675;6763,69;-1543,23;-202,98;-341,855;-997,915;0,99;0,99;0,97;0,99;217,88;218,025;217,315;6,865;7,04;31,450000000000003
MedParqueDaCrianca2G;09/06/2025, 0:04:00;9710,225;1480,59;1492,7;6755,6;-1541,8400000000001;-202,86;-337,07;-998,97;0,99;0,99;0,97;0,99;217,92000000000002;218,025;217,35500000000002;6,865;7,035;31,44
MedParqueDaCrianca2G;09/06/2025, 0:05:00;9711,575;1480,6100000000001;1492,57;6757,0650000000005;-1540,09;-202,61;-339,05499999999995;-996,91;0,99;0,99;0,97;0,99;217,77;217,91;217,17;6,87;7,04;31,465
MedParqueDaCrianca2G;09/06/2025, 0:06:00;9712,38;1480,6;1493,545;6756,844999999999;-1538,12;-202,35000000000002;-339,26;-994,9749999999999;0,99;0,99;0,97;0,99;217,675;217,88;217,08499999999998;6,87;7,045;31,5
MedParqueDaCrianca2G;09/06/2025, 0:07:00;9714,565;1481,75;1493,565;6756,705;-1543,81;-203,15499999999997;-340,23;-999,94;0,99;0,99;0,97;0,99;217,95499999999998;218,175;217,36;6,86;7,03;31,435000000000002
MedParqueDaCrianca2G;09/06/2025, 0:08:00;9702,715;1480,2849999999999;1491,71;6749,355;-1543,5900000000001;-203,04000000000002;-339,63;-999,35;0,99;0,99;0,97;0,99;217,845;218,14;217,31;6,86;7,025;31,4
MedParqueDaCrianca2G;09/06/2025, 0:09:00;9712,525;1481,7199999999998;1492,9650000000001;6756,51;-1544,1399999999999;-202,89499999999998;-340,475;-1000,745;0,99;0,99;0,97;0,99;217,815;218,28;217,25;6,865;7,02;31,425
