Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedPlinioLemos2G;06/01/2025, 0:00:00;4609,415;594,55;2806,705;1159,395;-474,505;-158,70999999999998;-239,73000000000002;-74,98;0,97;0,925;0,98;0,97;226,13;225,13;224,485;2,84;12,69;5,335
MedPlinioLemos2G;06/01/2025, 0:01:00;4504,73;541,425;2754,435;1159,7600000000002;-520,895;-149,645;-295,155;-74,88499999999999;0,965;0,92;0,975;0,97;226,405;225,405;224,76;2,6;12,48;5,33
MedPlinioLemos2G;06/01/2025, 0:02:00;4743,74;602,45;2701,54;1391,42;-179,08999999999997;-85,43;-348,83;256,04499999999996;0,96;0,9450000000000001;0,975;0,95;226,095;225,10000000000002;224,275;2,8200000000000003;12,3;6,57
MedPlinioLemos2G;06/01/2025, 0:03:00;5104,95;644,38;2698,52;1712,28;305,48;-25,615000000000002;-341,27;673,02;0,95;0,97;0,98;0,92;223,47;222,54;221,575;2,975;12,415;8,39
MedPlinioLemos2G;06/01/2025, 0:04:00;5095,195;640,645;2695,4700000000003;1709,305;291,595;-27,025;-338,77;658,26;0,955;0,97;0,98;0,92;222,57999999999998;221,66;220,685;2,975;12,455;8,405
MedPlinioLemos2G;06/01/2025, 0:05:00;5087,79;641,04;2696,5699999999997;1700,4699999999998;293,865;-27,555;-339,06500000000005;661,135;0,955;0,97;0,98;0,92;222,515;221,68;220,70499999999998;2,97;12,45;8,355
MedPlinioLemos2G;06/01/2025, 0:06:00;5078,545;639,0250000000001;2693,635;1696,195;290,115;-28,134999999999998;-337,515;656,405;0,955;0,97;0,98;0,92;222,07;221,16500000000002;220,25;2,975;12,46;8,355
MedPlinioLemos2G;06/01/2025, 0:07:00;5078,8099999999995;637,625;2695,4300000000003;1696,025;284,72;-28,965;-337,28999999999996;651,745;0,96;0,97;0,98;0,92;221,69;220,82;219,885;2,97;12,485;8,355
MedPlinioLemos2G;06/01/2025, 0:08:00;5075,110000000001;637,8299999999999;2694,58;1692,9850000000001;284,915;-29,17;-337,35;651,745;0,96;0,97;0,98;0,92;221,60000000000002;220,755;219,875;2,97;12,485;8,344999999999999
MedPlinioLemos2G;06/01/2025, 0:09:00;4881,1849999999995;534,74;2692,05;1602,73;70,465;-152,17;-336,74;557,495;0,95;0,92;0,98;0,93;221,54500000000002;220,7;219,805;2,625;12,485;7,825
MedPlinioLemos2G;06/01/2025, 0:10:00;4884,96;534,33;2695,755;1603,1100000000001;71,75;-152,08499999999998;-335,96500000000003;559,6500000000001;0,95;0,92;0,98;0,93;221,75;220,89;220,035;2,625;12,48;7,8149999999999995
MedPlinioLemos2G;06/01/2025, 0:11:00;4880,51;534,04;2693,63;1601,8899999999999;71,53;-152,265;-339,33;559,605;0,95;0,92;0,98;0,93;221,765;220,99;220,02499999999998;2,62;12,475000000000001;7,82
